시/도,시설명,소재지,장애인스포츠강좌 바우처시설,운영기관,위도,경도
서울,SRC 서울센터,관악구,Y,사복) SRC,37.4931756,126.9274006
서울,서울곰두리체육센터,송파구,Y,사)한국시각장애인연합회,37.5004957,127.1354641
서울,서부재활체육센터,은평구,Y,사복)엔젤스헤이븐(은평천사원),37.6051727,126.9075445
서울,동천재활체육센터,노원구,Y,사복)동천학원,37.6445781,127.0728729
서울,마포푸르메스포츠센터,마포구,Y,재단법인 푸르메,37.5846589,126.8805264
서울,서울수중재활센터,강동구,,시립서울장애인종합복지관,37.5548989,127.1464987
서울,기쁜우리체육센터,강서구,Y,사복)기쁜우리월드,37.5693631,126.8487793
서울,정립회관(체육센터),광진구,Y,사복)한국소아마비협회,37.5510878,127.0976313
부산,서부산권장애인스포츠센터,사하구,Y,사)사하스포츠클럽,35.1094203,128.9469415
부산,부산곰두리스포츠센터,연제구,Y,사복)양지동산,35.1852386,129.0657322
부산,부산한마음스포츠센터,해운대구,Y,부산시설공단,35.1803978,129.1766873
대구,대구장애인종합복지관(체육관),수성구,Y,사)국제라이온스 356-A,35.8265808,128.6066058
대구,대구광역시 달구벌재활스포츠센터,달서구,Y,사복)전석복지재단,35.85354,128.52545
대구,대구광역시장애인국민체육센터,수성구,Y,대구광역시장애인체육회,35.825249,128.6849945
인천,인천광역시장애인체육관,연수구,Y,인천광역시장애인체육회,37.412412,126.659417
인천,인천광역시장애인국민체육센터,연수구,Y,인천광역시장애인체육회,37.4307559,126.7017983
광주,광주광역시장애인종합체육관,북구,,재단법인 광주복지재단,35.1852093,126.8656325
광주,광주광역시장애인국민체육센터,서구,,광주광역시장애인체육회,35.1347781,126.8772152
대전,대전광역시장애인체육센터,유성구,Y,대전광역시 시설관리공단,36.3534471,127.3047091
대전,시립산성종합복지관,중구,Y,사)대전시각장애인연합회,36.3036675,127.3805266
대전,대전광역시 서구건강체련관,서구,Y,사복)미동,36.354983,127.3816105
대전,성세체육관,유성구,Y,사복)성재원,36.3213761,127.3188673
대전,유성구장애인종합복지관(체육관),유성구,,사)한국지체장애인협회,36.3814137,127.3211891
대전,대전광역시립 체육재활원,대덕구,Y,사)대전장애인단체총연합회,36.3683391,127.4189997
대전,대덕구장애인종합복지관,대덕구,,카톨릭사회복지회,36.3875791,127.4198817
대전,동구아름다운복지관,동구,Y,사)한국지체장애인협회,36.2681157,127.4722497
울산,울산광역시장애인체육관,남구,,사)울산광역시장애인총연합회,35.555386,129.3086563
울산,울산광역시제2장애인체육관,중구,Y,사)울산광역시장애인총연합회,35.5644808,129.3133417
경기,광명시장애인종합복지관체육관,광명시,Y,재)성모성심수도회,37.479426,126.8441683
경기,홀트장애인종합체육관,고양시,Y,사복)홀트아동복지회,37.6955767,126.7709639
경기,고양시재활스포츠센터,고양시,Y,사복)홀트아동복지회,37.7034031,126.7629367
경기,성분도복지관(체육관),광주시,,재)부산성베네딕도수녀회,37.3162665,127.3474184
경기,명휘체육센터,안산시,,사복)명휘원,37.2836671,126.8365505
경기,수원시장애인종합복지관(수영장),수원시,,사복)수원중앙복지재단,37.2957078,127.0339494
경기,SRC재활체육관,광주시,Y,사복) SRC,37.4200418,127.2871428
경기,보훈재활체육센터,수원시,,보훈공단,37.2974852,127.0227283
경기,성남시 한마음복지관,성남시,Y,분당우리복지재단,37.4082763,127.1441876
경기,안양시수리장애인복지관,안양시,Y,사복) 돕는사람들,37.3848715,126.9248772
경기,시흥어울림국민체육센터,시흥시,Y,시흥도시공사,37.3478207,126.7394421
강원,원주드림체육관,원주시,,원주시청,37.3605853,127.95375
강원,춘천장애인스포츠센터,춘천시,,춘천도시공사,37.88454,127.71583
충북,충주시장애인형국민체육센터,충주시,,충주시시설관리공단,36.9594949,127.9101595
충북,충청북도곰두리체육관,청주시,,사)충청북도사회복지개발회,36.6693217,127.4626387
충북,제천시어울림체육센터,제천시,,제천시청,37.1308304,128.2276964
충북,청주시장애인스포츠센터,청주시,,청주시장애인체육회,36.6795728,127.47586
충북,보은군장애인회관,보은군,,보은군장애인단체연합회,36.488318,127.7217614
충남,정심체육관,보령시,,사복)보령학사,36.3783654,126.5868875
충남,천안시장애인종합체육관,천안시,Y,천안시장애인체육회,36.8135896,127.1693272
충남,홍성군장애인스포츠센터,홍성군,Y,홍성군장애인체육회,36.6068154,126.64375
충남,아산장애인국민체육센터,아산시,Y,아산시청,36.7884554,126.9839175
전북,전라북도장애인복지관(체육관),전주시,,학교·사복)동암,35.8114438,127.0897566
전북,정읍곰두리스포츠센터,정읍시,,정읍시,35.5700179,126.8541828
전북,김제시장애인체육관,김제시,,김제시장애인종합복지관,35.8050622,126.8696584
전북,군산시애인체육관,군산시,,군산시,36.0098364,126.7559977
전북,전주어울림국민체육센터,전주시,,전주시시설관리공단,35.8548941,127.1236296
전남,전라남도장애인종합복지관(체육관),나주시,,사)조선대 사회복지회,35.0673746,126.6788638
전남,여수시장애인국민체육센터,여수시,,여수시도시관리공단,34.761572,127.719576
전남,광양장애인국민체육센터,광양시,,광양시장애인체육회,34.9651086,127.5720105
전남,해남군다목적생활체육관,해남군,,해남군청,34.5631785,126.605458
경북,상주시장애인 종합복지관(체육관),상주시,,사복)천주교안동교구사회복지회,36.442302,128.1527063
경북,경주시장애인체육관,경주시,,사복)대한불교조계종 불국사복지재단,35.8802071,129.2183125
경북,구미시장애인체육관,구미시,Y,사)한국교통장애인협회,36.1060237,128.3305375
경북,애명체육관,안동시,,사복)안동애명복지촌,36.6568155,128.681526
경북,문경시온누리체육관,문경시,,문경시,36.5934423,128.1831997
경남,창원시장애인종합복지관(체육관),창원시,Y,사복)범숙,35.250421,128.6795397
경남,창원시립곰두리국민체육센터,창원시,Y,사)경남지체장애인협회 창원시회,35.2528043,128.6346537
경남,사천시장애인국민체육센터,사천시,,사천시청,34.9968371,128.0604861
제주,제주특별자치도장애인스포츠센터(추후 개관예정),제주시,,제주특별자치도장애인체육회,33.4883054,126.4806502
